,name,age,team,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,season
41,Clint Benedict*,32,MTM,30.0,,9,19,2,65,,,,2.12,2,6.2,1843.0,,,,0.0,0.0,0,0,0,2,61.433,1925
42,King Clancy*,21,OTS,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,14,8,22,63,2.0,1925
43,Alec Connell*,22,OTS,30.0,,17,12,1,66,,,,2.14,7,6.2,1852.0,,,,0.0,0.0,0,0,0,2,61.733,1925
44,Jake Forbes,27,HAM,30.0,,19,10,1,60,,,,1.96,6,6.7,1834.0,,,,0.0,0.0,0,0,0,2,61.133,1925
45,Hec Fowler,32,BOS,7.0,,1,6,0,42,,,,6.16,0,-1.8,409.0,,,,0.0,0.0,0,0,0,0,58.429,1925
46,Howard Lockhart,29,BOS,2.0,,0,2,0,11,,,,5.50,0,-0.4,120.0,,,,0.0,0.0,0,0,0,0,60.0,1925
47,Dunc Munro,24,MTM,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,5,1,6,16,2.0,1925
48,George Redding,21,BOS,1.0,,0,0,0,1,,,,5.45,0,0.0,11.0,,,,0.0,0.0,3,2,5,10,11.0,1925
49,John Ross Roach,24,TRS,30.0,,19,11,0,84,,,,2.80,1,3.7,1800.0,,,,0.0,0.0,0,0,0,0,60.0,1925
50,Jesse Spring,24,HAM,1.0,,0,0,0,0,,,,0.00,0,0.0,2.0,,,,0.0,0.0,2,1,3,11,2.0,1925
51,Charles Stewart,29,BOS,21.0,,5,16,0,65,,,,3.08,2,1.9,1266.0,,,,0.0,0.0,0,0,0,0,60.286,1925
52,Georges Vezina*,38,MTL,30.0,,17,11,2,56,,,,1.81,5,7.4,1860.0,,,,0.0,0.0,0,0,0,0,62.0,1925
53,Clint Benedict*,33,MTM,36.0,,20,11,5,73,,,,1.92,6,7.6,2286.0,,,,0.0,0.0,0,0,0,0,63.5,1926
54,Odie Cleghorn,34,PTP,1.0,,1,0,0,2,,,,2.00,0,0.2,60.0,,,,0.0,0.0,2,1,3,4,60.0,1926
55,Alec Connell*,23,OTS,36.0,,24,8,4,42,,,,1.12,15,11.1,2251.0,,,,0.0,0.0,0,0,0,0,62.528,1926
56,Jake Forbes,28,NYA,36.0,,12,20,4,86,,,,2.30,2,5.6,2240.0,,,,0.0,0.0,0,0,0,0,62.222,1926
57,Joe Ironstone,27,NYA,1.0,,0,0,0,3,,,,4.50,0,-0.1,40.0,,,,0.0,0.0,0,0,0,0,40.0,1926
58,Frenchy Lacroix,28,MTL,5.0,,1,4,0,16,,,,3.43,0,0.1,280.0,,,,0.0,0.0,0,0,0,0,56.0,1926
59,Herb Rheaume,26,MTL,31.0,,10,20,1,92,,,,2.93,0,2.3,1887.0,,,,0.0,0.0,0,0,0,0,60.871,1926
60,John Ross Roach,25,TRS,36.0,,12,21,3,114,,,,3.07,2,2.1,2230.0,,,,0.0,0.0,0,0,0,0,61.944,1926
61,Moe Roberts,20,BOS,2.0,,1,1,0,5,,,,3.53,0,0.0,85.0,,,,0.0,0.0,0,0,0,0,42.5,1926
62,Charles Stewart,30,BOS,35.0,,16,14,4,80,,,,2.21,6,5.9,2172.0,,,,0.0,0.0,0,0,0,0,62.057,1926
63,Georges Vezina*,39,MTL,1.0,,0,0,0,0,,,,0.00,0,0.1,20.0,,,,0.0,0.0,0,0,0,0,20.0,1926
64,Roy Worters*,25,PTP,35.0,,18,16,1,68,,,,1.90,7,7.2,2145.0,,,,0.0,0.0,0,0,0,0,61.286,1926
65,Clint Benedict*,34,MTM,43.0,,20,19,4,65,,,,1.42,13,10.5,2747.0,,,,0.0,0.0,0,0,0,0,63.884,1927
66,Lorne Chabot,26,NYR,37.0,,22,9,5,59,,,,1.51,10,8.5,2347.0,,,,0.0,0.0,0,0,0,0,63.432,1927
67,Alec Connell*,24,OTS,44.0,,30,10,4,69,,,,1.49,13,10.2,2787.0,,,,0.0,0.0,0,0,0,2,63.341,1927
68,Jake Forbes,29,NYA,44.0,,17,25,2,91,,,,2.01,8,6.5,2715.0,,,,0.0,0.0,0,0,0,0,61.705,1927
69,George Hainsworth*,31,MTL,44.0,,28,14,2,67,,,,1.47,14,10.1,2739.0,,,,0.0,0.0,0,0,0,0,62.25,1927
70,Hap Holmes*,38,DTC,41.0,,11,26,4,100,,,,2.32,6,4.3,2584.0,,,,0.0,0.0,0,0,0,0,63.024,1927
71,Hugh Lehman*,41,CBH,44.0,,19,22,3,116,,,,2.49,5,3.5,2795.0,,,,0.0,0.0,0,0,0,0,63.523,1927
72,John Ross Roach,26,TOR,44.0,,15,24,5,94,,,,2.04,4,6.5,2764.0,,,,0.0,0.0,0,0,0,0,62.818,1927
73,Charles Stewart,31,BOS,21.0,,9,11,1,49,,,,2.25,2,2.4,1304.0,,,,0.0,0.0,0,0,0,0,62.095,1927
74,Herb Stuart,27,DTC,3.0,,1,2,0,5,,,,1.67,0,0.6,180.0,,,,0.0,0.0,0,0,0,0,60.0,1927
75,Flat Walsh,29,MTM,1.0,,0,1,0,3,,,,3.00,0,0.0,60.0,,,,0.0,0.0,0,0,0,0,60.0,1927
76,Hal Winkler,34,NYR,31.0,,15,13,3,53,,,,1.66,6,6.2,1918.0,,,,0.0,0.0,0,0,0,0,61.871,1927
77,Roy Worters*,26,PTP,44.0,,15,26,3,108,,,,2.39,4,4.1,2713.0,,,,0.0,0.0,0,0,0,0,61.659,1927
78,Clint Benedict*,35,MTM,44.0,,24,14,6,76,,,,1.70,6,8.1,2690.0,,,,0.0,0.0,0,0,0,0,61.136,1928
79,Lorne Chabot,27,NYR,44.0,,19,16,9,79,,,,1.74,11,8.0,2730.0,,,,0.0,0.0,0,0,0,0,62.045,1928
80,Alec Connell*,25,OTS,44.0,,20,14,10,57,,,,1.24,15,11.5,2760.0,,,,0.0,0.0,0,0,0,0,62.727,1928
81,Jake Forbes,30,NYA,16.0,,3,11,2,51,,,,3.12,2,-0.5,980.0,,,,0.0,0.0,0,0,0,0,61.25,1928
82,Charlie Gardiner*,23,CBH,40.0,,6,32,2,114,,,,2.83,3,0.5,2420.0,,,,0.0,0.0,0,0,0,0,60.5,1928
83,George Hainsworth*,32,MTL,44.0,,26,11,7,48,,,,1.05,13,12.6,2730.0,,,,0.0,0.0,0,0,0,0,62.045,1928
84,Normie Himes,24,NYA,1.0,,0,0,0,0,,,,0.00,0,0.1,19.0,,,,0.0,0.0,14,5,19,24,19.0,1928
85,Hap Holmes*,39,DTC,44.0,,19,19,6,79,,,,1.73,11,8.1,2740.0,,,,0.0,0.0,0,0,0,0,62.273,1928
86,Joe Ironstone,29,TOR,1.0,,0,0,1,0,,,,0.00,1,0.5,70.0,,,,0.0,0.0,0,0,0,0,70.0,1928
87,Hugh Lehman*,42,CBH,4.0,,1,2,1,20,,,,4.80,1,-1.2,250.0,,,,0.0,0.0,0,0,0,0,62.5,1928
88,Joe Miller,27,NYA,28.0,,8,16,4,77,,,,2.68,5,0.9,1721.0,,,,0.0,0.0,0,0,0,0,61.464,1928
89,John Ross Roach,27,TOR,43.0,,18,18,7,88,,,,1.96,4,6.3,2690.0,,,,0.0,0.0,0,0,0,0,62.558,1928
90,Flat Walsh,30,MTM,1.0,,0,0,0,1,,,,1.50,0,0.1,40.0,,,,0.0,0.0,0,0,0,0,40.0,1928
91,Hal Winkler,35,BOS,44.0,,20,13,11,70,,,,1.51,15,9.7,2780.0,,,,0.0,0.0,0,0,0,0,63.182,1928
92,Roy Worters*,27,PTP,44.0,,19,17,8,76,,,,1.66,11,8.5,2740.0,,,,0.0,0.0,0,0,0,0,62.273,1928
93,Clint Benedict*,36,MTM,37.0,,14,16,7,57,,,,1.49,11,5.4,2300.0,,,,0.0,0.0,0,0,0,0,62.162,1929
94,Lorne Chabot,28,TOR,43.0,,20,16,5,64,,,,1.52,10,5.7,2534.0,,,,0.0,0.0,0,0,0,2,58.93,1929
95,Alec Connell*,26,OTS,44.0,,14,17,13,67,,,,1.43,7,7.2,2820.0,,,,0.0,0.0,0,0,0,0,64.091,1929
96,Dolly Dolson,31,DTC,44.0,,19,16,9,63,,,,1.37,10,7.5,2750.0,,,,0.0,0.0,0,0,0,0,62.5,1929
97,Jake Forbes,31,NYA,1.0,,1,0,0,3,,,,3.00,0,-0.2,60.0,,,,0.0,0.0,0,0,0,0,60.0,1929
98,Charlie Gardiner*,24,CBH,44.0,,7,29,8,85,,,,1.85,5,3.2,2758.0,,,,0.0,0.0,0,0,0,2,62.682,1929
99,Benny Grant,20,TOR,5.0,,1,2,0,5,,,,1.61,1,0.4,186.0,,,,0.0,0.0,0,0,0,0,37.2,1929
100,George Hainsworth*,33,MTL,44.0,,22,7,15,43,,,,0.92,22,11.8,2800.0,,,,0.0,0.0,0,0,0,0,63.636,1929
101,Normie Himes,25,NYA,1.0,,0,1,0,3,,,,3.00,0,-0.2,60.0,,,,0.0,0.0,10,0,10,25,60.0,1929
102,Red Horner*,19,TOR,1.0,,0,0,0,0,,,,,0,0.0,2.0,,,,0.0,0.0,0,0,0,30,2.0,1929
103,Joe Miller,28,PTP,44.0,,9,27,8,80,,,,1.73,11,4.4,2780.0,,,,0.0,0.0,0,0,0,0,63.182,1929
104,John Ross Roach,28,NYR,44.0,,21,13,10,65,,,,1.41,13,7.2,2760.0,,,,0.0,0.0,0,0,0,0,62.727,1929
105,Tiny Thompson*,25,BOS,44.0,,26,13,5,52,,,,1.15,12,9.3,2710.0,,,,0.0,0.0,0,0,0,0,61.591,1929
106,Flat Walsh,31,NYA,11.0,,3,4,4,9,,,,0.76,4,3.4,710.0,,,,0.0,0.0,0,0,0,0,64.545,1929
107,Roy Worters*,28,NYA,38.0,,16,12,10,46,,,,1.15,13,8.2,2390.0,,,,0.0,0.0,0,0,0,0,62.895,1929
108,Clint Benedict*,37,MTM,14.0,,5,5,1,35,,,,2.95,0,1.8,711.0,,,,0.0,0.0,0,0,0,0,50.786,1930
109,Bill Beveridge,20,DTC,39.0,,14,20,5,109,,,,2.71,2,7.0,2410.0,,,,0.0,0.0,0,0,0,0,61.795,1930
110,Lorne Chabot,29,TOR,42.0,,16,20,6,110,,,,2.54,6,8.2,2600.0,,,,0.0,0.0,0,0,0,0,61.905,1930
111,Alec Connell*,27,OTS,44.0,,21,15,8,118,,,,2.55,3,8.8,2780.0,,,,0.0,0.0,0,0,0,0,63.182,1930
112,Abbie Cox,25,MTM,1.0,,1,0,0,2,,,,2.00,0,0.2,60.0,,,,0.0,0.0,0,0,0,0,60.0,1930
113,Dolly Dolson,32,DTC,5.0,,0,4,1,24,,,,4.50,0,0.0,320.0,,,,0.0,0.0,0,0,0,0,64.0,1930
114,Jake Forbes,32,NYA,1.0,,0,0,1,1,,,,0.86,0,0.4,70.0,,,,0.0,0.0,0,0,0,0,70.0,1930
115,Charlie Gardiner*,25,CBH,44.0,,21,18,5,111,,,,2.42,3,9.2,2750.0,,,,0.0,0.0,0,0,0,0,62.5,1930
116,Benny Grant,21,TOR,10.0,,4,5,0,39,,,,4.11,0,0.4,570.0,,,,0.0,0.0,0,0,0,0,57.0,1930
117,George Hainsworth*,34,MTL,42.0,,20,13,9,108,,,,2.42,4,9.0,2680.0,,,,0.0,0.0,0,0,0,0,63.81,1930
118,Joe Miller,29,PTP,43.0,,5,35,3,179,,,,4.08,0,1.8,2630.0,,,,0.0,0.0,0,0,0,0,61.163,1930
119,Mickey Murray,31,MTL,1.0,,0,1,0,4,,,,4.00,0,0.0,60.0,,,,0.0,0.0,0,0,0,0,60.0,1930
120,John Ross Roach,29,NYR,44.0,,17,17,10,143,,,,3.10,1,6.3,2770.0,,,,0.0,0.0,0,0,0,0,62.955,1930
121,Red Spooner,19,PTP,1.0,,0,1,0,6,,,,6.00,0,-0.1,60.0,,,,0.0,0.0,0,0,0,0,60.0,1930
122,Tiny Thompson*,26,BOS,44.0,,38,5,1,98,,,,2.19,3,10.0,2680.0,,,,0.0,0.0,0,0,0,0,60.909,1930
123,Flat Walsh,32,MTM,32.0,,17,11,4,77,,,,2.38,2,6.6,1939.0,,,,0.0,0.0,0,0,0,0,60.594,1930
124,Roy Worters*,29,MTL,37.0,,12,21,4,137,,,,3.53,2,3.7,2330.0,,,,0.0,0.0,0,0,0,0,62.973,1930
125,Bill Beveridge,21,OTS,9.0,,0,8,0,32,,,,3.69,0,0.0,520.0,,,,0.0,0.0,0,0,0,0,57.778,1931
126,Lorne Chabot,30,TOR,37.0,,21,8,8,80,,,,2.09,6,7.2,2300.0,,,,0.0,0.0,0,0,0,0,62.162,1931
127,Alec Connell*,28,OTS,36.0,,10,22,4,110,,,,3.01,3,2.8,2190.0,,,,0.0,0.0,0,0,0,0,60.833,1931
128,Wilf Cude,20,PHQ,29.0,,2,23,3,130,,,,4.38,1,-2.6,1779.0,,,,0.0,0.0,0,0,0,0,61.345,1931
129,Dolly Dolson,33,DTF,44.0,,16,21,7,105,,,,2.29,6,7.5,2750.0,,,,0.0,0.0,0,0,0,0,62.5,1931
130,Jake Forbes,33,PHQ,2.0,,0,2,0,7,,,,3.50,0,0.0,120.0,,,,0.0,0.0,0,0,0,0,60.0,1931
131,Charlie Gardiner*,26,CBH,44.0,,24,17,3,78,,,,1.73,12,10.4,2710.0,,,,0.0,0.0,0,0,0,0,61.591,1931
132,Benny Grant,22,TOR,7.0,,1,5,1,19,,,,2.65,2,0.9,430.0,,,,0.0,0.0,0,0,0,0,61.429,1931
133,George Hainsworth*,35,MTL,44.0,,26,10,8,89,,,,1.95,8,9.3,2740.0,,,,0.0,0.0,0,0,0,0,62.273,1931
134,Dave Kerr,21,MTM,31.0,,14,12,4,71,,,,2.33,1,4.9,1830.0,,,,0.0,0.0,0,0,0,0,59.032,1931
135,Joe Miller,30,PHQ,15.0,,2,11,1,47,,,,3.43,0,0.4,821.0,,,,0.0,0.0,0,0,0,0,54.733,1931
136,John Ross Roach,30,NYR,44.0,,19,16,9,87,,,,1.89,7,9.7,2760.0,,,,0.0,0.0,0,1,1,0,62.727,1931
137,Tiny Thompson*,27,BOS,44.0,,28,10,6,90,,,,1.98,3,9.1,2730.0,,,,0.0,0.0,0,0,0,0,62.045,1931
138,Flat Walsh,33,MTM,16.0,,6,6,2,35,,,,2.33,2,2.4,900.0,,,,0.0,0.0,0,0,0,0,56.25,1931
139,Roy Worters*,30,NYA,44.0,,18,16,10,74,,,,1.61,8,11.3,2760.0,,,,0.0,0.0,0,0,0,0,62.727,1931
140,Lorne Chabot,31,TOR,44.0,,21,16,6,106,,,,2.36,4,7.3,2698.0,,,,0.0,0.0,0,0,0,2,61.318,1932
141,King Clancy*,28,TOR,1.0,,0,0,0,1,,,,60.00,0,-0.1,1.0,,,,0.0,0.0,10,9,19,59,1.0,1932
142,Alec Connell*,29,DTF,48.0,,18,20,10,108,,,,2.13,6,9.5,3040.0,,,,0.0,0.0,0,0,0,0,63.333,1932
143,Wilf Cude,21,CBH,3.0,,1,2,0,15,,,,5.59,1,-0.6,161.0,,,,0.0,0.0,0,0,0,0,53.667,1932
144,Jake Forbes,34,NYA,6.0,,3,3,0,16,,,,2.67,0,0.8,360.0,,,,0.0,0.0,0,0,0,0,60.0,1932
145,Charlie Gardiner*,27,CBH,48.0,,18,18,11,92,,,,1.85,4,11.0,2989.0,,,,0.0,0.0,0,0,0,0,62.271,1932
146,Benny Grant,23,TOR,5.0,,2,2,1,18,,,,3.39,0,0.2,319.0,,,,0.0,0.0,0,0,0,0,63.8,1932
147,George Hainsworth*,36,MTL,48.0,,25,15,7,110,,,,2.19,6,9.0,3008.0,,,,0.0,0.0,0,0,0,2,62.667,1932
148,Red Horner*,22,TOR,1.0,,0,0,0,1,,,,60.00,0,-0.1,1.0,,,,0.0,0.0,7,9,16,109,1.0,1932
149,Percy Jackson,24,BOS,4.0,,1,1,1,8,,,,2.09,0,0.7,230.0,,,,0.0,0.0,0,0,0,0,57.5,1932
150,Dave Kerr,22,NYA,1.0,,0,1,0,6,,,,6.00,0,-0.3,60.0,,,,0.0,0.0,0,0,0,0,60.0,1932
151,Albert Leduc,29,MTL,1.0,,0,1,0,1,,,,30.00,0,-0.1,2.0,,,,0.0,0.0,5,3,8,60,2.0,1932
152,Alex Levinsky,21,TOR,1.0,,0,0,0,1,,,,60.00,0,-0.1,1.0,,,,0.0,0.0,5,5,10,27,1.0,1932
153,John Ross Roach,31,NYR,48.0,,23,17,8,112,,,,2.23,9,8.8,3010.0,,,,0.0,0.0,0,0,0,0,62.708,1932
154,Moe Roberts,26,NYA,1.0,,1,0,0,1,,,,1.00,0,0.3,60.0,,,,0.0,0.0,0,0,0,0,60.0,1932
155,Al Shields,24,NYA,2.0,,0,0,0,7,,,,11.22,0,-0.5,41.0,,,,0.0,0.0,4,1,5,45,20.5,1932
156,Normie Smith,23,MTM,20.0,,5,11,4,62,,,,2.94,0,2.0,1267.0,,,,0.0,0.0,0,0,0,0,63.35,1932
157,Harold Starr,25,MTM,1.0,,0,0,0,0,,,,0.00,0,0.0,3.0,,,,0.0,0.0,1,2,3,51,3.0,1932
158,Tiny Thompson*,28,BOS,43.0,,13,19,11,103,,,,2.29,9,7.6,2700.0,,,,0.0,0.0,0,0,0,0,62.791,1932
159,Flat Walsh,34,MTM,28.0,,14,11,3,77,,,,2.67,2,3.6,1730.0,,,,0.0,0.0,0,0,0,0,61.786,1932
160,Roy Worters*,31,NYA,40.0,,12,20,8,112,,,,2.73,5,4.9,2463.0,,,,0.0,0.0,0,0,0,0,61.575,1932
161,Andy Aitkenhead,28,NYR,48.0,,23,17,8,107,,,,2.16,3,8.1,2970.0,,,,0.0,0.0,0,0,0,0,61.875,1933
162,Bill Beveridge,23,OTS,33.0,,7,19,7,89,,,,2.59,5,3.8,2063.0,,,,0.0,0.0,0,0,0,0,62.515,1933
163,Lorne Chabot,32,TOR,48.0,,24,18,6,111,,,,2.26,5,7.4,2946.0,,,,0.0,0.0,0,0,0,4,61.375,1933
164,Charlie Conacher*,23,TOR,2.0,,0,0,0,0,,,,0.00,0,0.0,4.0,,,,0.0,0.0,14,19,33,64,2.0,1933
165,Alec Connell*,30,OTS,16.0,,4,8,3,42,,,,2.58,1,1.8,977.0,,,,0.0,0.0,0,0,0,0,61.062,1933
166,Jake Forbes,35,NYA,1.0,,0,0,1,2,,,,1.71,0,0.3,70.0,,,,0.0,0.0,0,0,0,0,70.0,1933
167,Charlie Gardiner*,28,CBH,48.0,,16,20,12,101,,,,2.01,5,9.2,3010.0,,,,0.0,0.0,0,0,0,0,62.708,1933
