,index,season,Unnamed: 0,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,name,team
0,35,1924,0.9333333333333333,31,1.375,,1.875,0.875,,1.0588235294117647,,,,0.606399187404774,2.25,1.9500000000000002,1.388869921474906,,,,,,,,,,1.0153643402339245,Clint Benedict*,OTS
1,37,1924,0.9866666666666667,29,0.125,,0.125,0.125,,0.21176470588235294,,,,1.3712544438801424,0.0,-0.037500000000000006,0.12290884260839877,,,,,,,,,,0.988413596178134,Sammy Hebert,OTS
2,44,1925,0.946236559139785,27,1.9565217391304348,,2.6206896551724137,1.3793103448275863,2.0,1.6,,,,0.758220502901354,3.1304347826086953,2.688963210702341,2.000545404963185,,,,,,0.0,0.0,0.0,0.22641509433962262,1.4613058599959365,Jake Forbes,HAM
3,50,1925,1.075268817204301,24,0.06521739130434782,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.00218161985274066,,,,,,1.0,1.0,1.0,1.2452830188679245,0.047807431665252365,Jesse Spring,HAM
4,53,1926,0.905982905982906,33,1.6941176470588235,,2.0869565217391304,1.1478260869565218,2.7272727272727275,1.5077452667814115,,,,0.7969560705638187,1.8947368421052633,2.16627078384798,1.7477064220183487,,,,,,0.0,0.0,0.0,0.0,1.1670863276296202,Clint Benedict*,MTM
5,69,1927,0.971830985915493,31,1.2970521541950115,,1.801980198019802,0.900990099009901,0.7222222222222222,0.9908987485779295,,,,0.7430015552099533,2.1411764705882352,1.7888283378746594,1.2876360611868514,,,,,,,,,0.0,0.9995652184653695,George Hainsworth*,MTL
6,83,1928,0.9764705882352941,32,1.493212669683258,,2.1311475409836067,0.9016393442622951,1.4189189189189189,0.8612440191387559,,,,0.5723110465116279,1.989795918367347,2.581967213114754,1.4967105263157894,,,,,,0.0,0.0,0.0,0.0,1.0661226893085882,George Hainsworth*,MTL
7,97,1929,0.97,31,0.033707865168539325,,0.08670520231213873,0.0,0.0,0.07009345794392524,,,,2.0098258150960255,0.0,-0.04092769440654843,0.03258508327299059,,,,,,0.0,,0.0,0.0,1.0611443144477157,Jake Forbes,NYA
8,101,1929,1.01,25,0.033707865168539325,,0.0,0.08670520231213873,0.0,0.07009345794392524,,,,2.0098258150960255,0.0,-0.04092769440654843,0.03258508327299059,,,,,,15.0,,15.0,6.3559322033898304,1.0611443144477157,Normie Himes,NYA
9,106,1929,1.06,31,0.37078651685393255,,0.26011560693641617,0.3468208092485549,0.6382978723404256,0.21028037383177572,,,,0.5091558731576598,0.5042016806722689,0.6957708049113231,0.38559015206372194,,,,,,0.0,,0.0,0.0,1.1415259962671302,Flat Walsh,NYA
10,107,1929,1.07,28,1.2808988764044944,,1.3872832369942196,1.0404624277456647,1.5957446808510638,1.074766355140187,,,,0.770433229120143,1.638655462184874,1.6780354706684852,1.2979724837074584,,,,,,0.0,,0.0,0.0,1.112344527619818,Roy Worters*,NYA
11,108,1930,0.9310344827586207,37,0.536036036036036,,0.44502617801047123,0.44502617801047123,0.2931034482758621,0.4573405073020753,,,,0.9581581964081008,0.0,0.4174624829467941,0.44080962800875273,,,,,,,,,,0.8273142629353796,Clint Benedict*,MTM
12,112,1930,0.9655172413793104,25,0.038288288288288286,,0.08900523560209425,0.0,0.0,0.026133743274404302,,,,0.649598777225831,0.0,0.046384720327421566,0.037199124726477024,,,,,,,,,,0.9774121958044101,Abbie Cox,MTM
13,123,1930,1.0603448275862069,32,1.2252252252252251,,1.5130890052356023,0.9790575916230367,1.1724137931034484,1.0061491160645657,,,,0.7730225448987389,1.3076923076923077,1.5306957708049116,1.2021517140773157,,,,,,,,,,0.9870885765428736,Flat Walsh,MTM
14,133,1931,1.0075757575757576,35,1.4798206278026906,,2.085561497326203,0.8021390374331551,1.8181818181818181,1.2666034155597723,,,,0.7527020072053527,2.0338983050847457,1.903137789904502,1.5032918800292612,,,,,,,0.0,0.0,,1.029390858748657,George Hainsworth*,MTL
15,147,1932,0.98,36,2.558375634517766,,3.343949044585987,2.006369426751592,2.1,2.413793103448276,,,,0.17463451680273398,2.7391304347826084,2.9577464788732395,2.6163021868787273,,,,,,0.0,0.0,0.0,0.11830985915492957,1.3922081191960782,George Hainsworth*,MTL
16,151,1932,1.0066666666666666,29,0.0532994923857868,,0.0,0.1337579617834395,0.0,0.0219435736677116,,,,2.3922536548319724,0.0,-0.03286384976525822,0.001739562624254473,,,,,,3.28125,2.1724137931034484,2.7540983606557377,3.549295774647887,0.044431937676802084,Albert Leduc,MTL
17,172,1933,1.026865671641791,29,1.5412844036697249,,1.9553072625698322,1.1731843575418994,1.5135135135135136,1.2533062054933877,,,,0.779746835443038,2.6101694915254234,2.0776699029126213,1.55902004454343,,,,,,0.0,0.0,0.0,0.0,1.080621795956375,Tiny Thompson*,BOS
18,177,1934,0.9698630136986301,33,1.724770642201835,,1.8876404494382022,1.797752808988764,1.263157894736842,1.5553416746871993,,,,0.6817620419925896,2.4150943396226414,2.0278551532033426,1.7276247372496958,,,,,,0.0,,0.0,0.8421052631578947,1.0978479594770076,Lorne Chabot,MTL
19,180,1934,0.9863013698630136,23,1.1009174311926606,,1.4382022471910112,0.5393258426966292,1.6842105263157894,0.7237728585178056,,,,0.48414985590778103,1.509433962264151,1.8272980501392757,1.1328686801637349,,,,,,0.0,,0.0,0.0,1.1278414942137547,Wilf Cude,MTL
