,level_0,index,Year,age,gp,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,fouls,pts,selection,name,pos,team,school
0,0,0.0,1956,31,1.2354521038495971,,1.572907396130967,1.5497246517654677,1.4394635539550475,1.0997823879297846,,,,1.5497246517654677,1.4394635539550475,1.0997823879297846,1.0997823879297846,0.8950141872719904,0.91500904159132,0.9716000237656703,,,1.7788986969314833,1.6964539007092196,,,,1.2437684833122098,1.3621746674378263,,Jack Coleman,PF,STL,N/A
1,1,0.16666666666666666,1956,22,1.1201432408236347,,1.021312473652162,0.8344671201814056,0.9025207997019743,0.9556361526185991,,,,0.8344671201814056,0.9025207997019743,0.9556361526185991,0.9556361526185991,0.8950141872719904,0.970464135021097,0.9497356069158099,,,0.5220680958385876,1.0439716312056735,,,,1.0882974228981834,0.8513591671486415,,Al Ferrari,SF,STL,N/A
2,2,0.3333333333333333,1956,32,1.1695613249776187,,0.8963417490280579,0.6258503401360542,0.731156090897802,0.8595386624111423,,,,0.6258503401360542,0.731156090897802,0.8595386624111423,0.8595386624111423,0.48479935143899483,0.6100060277275468,0.8253817360822291,,,0.9281210592686,0.9569739952718676,,,,1.4769750739332488,0.574667437825333,,Alex Hannum*,PF,STL,N/A
3,3,0.5,1956,28,1.1860340196956132,,1.327275282214624,1.0728862973760929,1.1538557059480936,0.958305527346584,,,,1.0728862973760929,1.1538557059480936,0.958305527346584,0.958305527346584,0.48479935143899483,0.5545509342977697,0.9073732992692056,,,0.5220680958385876,1.6529550827423165,,,,1.3215040135192226,0.9152111046847895,,Bob Harrison,PG,STL,N/A
4,4,0.6666666666666666,1956,27,1.153088630259624,,1.0557871563070873,0.8642695173307415,1.0053396249844777,0.8755549107790516,,,,0.8642695173307415,1.0053396249844777,0.8755549107790516,0.8755549107790516,0.5966761248479937,0.7209162145871006,0.8130830016041827,,,0.5027322404371584,1.3919621749408981,,,,0.9328263624841572,0.7768652400231353,,Jack McMahon,PG,STL,N/A
5,5,0.8333333333333334,1956,22,0.6589077887197851,,0.4567895451777602,0.3874311629413669,0.4341239289705699,0.9316117800667348,,,,0.3874311629413669,0.4341239289705699,0.9316117800667348,0.9316117800667348,0.4102148358329957,0.49909584086799275,0.859544887410136,,,0.4640605296343,0.4349881796690307,,,,0.6218842416561049,0.4043956043956047,,Med Park,SF,STL,N/A
6,6,1.0,1956,23,1.1860340196956132,,1.672022108763877,2.6822157434402323,2.3876816093381343,1.145161758305528,,,,2.6822157434402323,2.3876816093381343,1.145161758305528,1.145161758305528,2.8715038508309694,2.911392405063291,1.0057631750935772,,,3.1324085750315254,1.1309692671394798,,,,1.0882974228981834,2.7349913244650104,,Bob Pettit*,C,STL,N/A
7,7,1.1666666666666667,1956,22,0.8895255147717099,,0.4610988805096259,0.44703595724003875,0.5712156960139078,0.8008124183954741,,,,0.44703595724003875,0.5712156960139078,0.8008124183954741,0.8008124183954741,0.4102148358329957,0.41591320072332727,1.0453924306339493,,,0.2513661202185792,0.4349881796690307,,,,0.5441487114490917,0.4363215731636787,,Bob Schafer,SG,STL,N/A
8,8,1.3333333333333333,1956,23,0.2800358102059087,,1.124736521616938,1.1622934888241006,1.233825903390041,0.9769911504424784,,,,1.1622934888241006,1.233825903390041,0.9769911504424784,0.9769911504424784,1.1560599918929877,1.1645569620253164,1.0194284356247398,,,0.6187473728457334,0.9134751773049644,,,,0.8550908322771442,1.1706188548293819,,Frank Selvy,SG,STL,N/A
9,9,1.5,1956,28,1.1860340196956132,,1.1807578809311916,1.3113054745707804,1.1652800198683717,1.147831133033513,,,,1.3113054745707804,1.1652800198683717,1.147831133033513,1.147831133033513,1.790028374543981,1.9132007233273056,0.9497356069158099,,,2.0882723833543504,0.7829787234042552,,,,1.7101816645542884,1.4473105841526903,,Chuck Share,C,STL,N/A
10,10,1.6666666666666667,1956,22,1.1860340196956132,,1.327275282214624,1.0132815030774212,1.0167639389047558,1.0303786450021768,,,,1.0132815030774212,1.0167639389047558,1.0303786450021768,1.0303786450021768,1.2679367653019864,1.3863773357444242,0.9456360287564612,,,1.0054644808743167,1.261465721040189,,,,0.777355302070131,1.0961249277038758,,Jack Stephens,SG,STL,N/A
11,11,1.5714285714285714,1957,28,1.145750452079566,,1.6429503035754436,2.2867262088081297,2.2603782287822884,1.0550919138378254,,,,2.2867262088081297,2.2603782287822884,1.0550919138378254,1.0550919138378254,2.2599118942731273,2.045209580838324,1.165123279816513,,,0.9286691420754347,4.314352120859964,,,,0.8735294117647058,2.270035618878006,,Bob Cousy*,PG,BOS,N/A
12,12,1.7142857142857142,1957,22,1.2889692585895116,,1.331279514279289,1.8903603326147207,1.780904059040591,1.1081256343746475,,,,1.8903603326147207,1.780904059040591,1.1081256343746475,1.1081256343746475,1.5066079295154182,1.4227544910179641,1.1211295871559626,,,1.896032831737346,0.9203951191167924,,,,1.7470588235294116,1.7851736420302766,,Tom Heinsohn*,PF,BOS,N/A
13,13,1.8571428571428572,1957,23,1.1994575045207956,,0.699033055992804,0.4878349245457344,0.5365544280442806,0.9601894665614074,,,,0.4878349245457344,0.5365544280442806,0.9601894665614074,0.9601894665614074,0.8722466960352422,0.9188622754491019,0.9863102064220177,,,0.87062732069572,0.34514816966879713,,,,0.6239495798319327,0.5950578806767589,,Dick Hemric,PF,BOS,N/A
