,season,Unnamed: 0,age,gp,gs,wins,losses,ties,goals_against,shots,saves,save_pct,goals_avg,shutouts,gps,minutes,quality_starts,quality_start_pct,really_bad_starts,ga_pct_minus,gs_above_avg,goals_scored,assists,points,plm,mpg,name,team
25,1922,0.9259259259259259,31,0.07142857142857142,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0023740885195862303,,,,,,5.666666666666667,5.7272727272727275,5.6875,4.59016393442623,0.03936819668351064,Sprague Cleghorn*,MTL
26,1922,0.9629629629629629,26,1.7142857142857142,,0.9130434782608696,2.5869565217391304,0.0,1.8973684210526316,,,,1.4570886676149832,0.0,1.2767295597484276,1.6713583177887061,,,,,,0.0,0.0,0.0,0.0,1.1548069974157593,Howard Lockhart,HAM
27,1922,1.0,28,0.14285714285714285,,0.30434782608695654,0.0,0.0,0.11052631578947368,,,,0.9957325746799431,0.0,0.22012578616352202,0.1424453111751738,,,,,,0.0,0.0,0.0,0.0,1.181045900505319,Mike Mitchell,TRS
28,1922,1.037037037037037,32,0.07142857142857142,,0.15217391304347827,0.0,0.0,0.0368421052631579,,,,0.8131816026552869,0.0,0.08805031446540881,0.059352212989655755,,,,,,1.3333333333333333,1.2727272727272727,1.3125,2.295081967213115,0.9842049170877659,Harry Mummery,HAM
29,1922,1.0740740740740742,21,1.5714285714285714,,1.673913043478261,1.5217391304347827,1.75,1.6763157894736842,,,,1.3508771929824561,0.0,1.4528301886792452,1.5906393081227743,,,,,,0.0,0.0,0.0,0.0,1.1989387458979746,John Ross Roach,TRS
30,1922,1.1111111111111112,35,1.7142857142857142,,1.8260869565217392,1.673913043478261,1.75,1.731578947368421,,,,1.2745376955903271,0.0,1.7610062893081762,1.7437680176360861,,,,,,0.0,0.0,0.0,0.11475409836065575,1.2048242913021594,Georges Vezina*,MTL
31,1923,0.9538461538461539,30,1.0,,1.2173913043478262,0.782608695652174,1.0,0.6900958466453674,,,,0.6855345911949686,2.2857142857142856,1.5403726708074532,1.0067613252197432,,,,,,,,,4.0,1.006766734279919,Clint Benedict*,OTS
32,1923,0.9846153846153847,25,1.0,,0.5217391304347826,1.565217391304348,0.0,1.4057507987220448,,,,1.4119496855345914,0.0,0.29813664596273287,0.9939148073022313,,,,,,,,,0.0,0.9939148073022313,Jake Forbes,HAM
33,1923,1.0153846153846153,22,1.0,,1.1304347826086956,0.8695652173913043,1.0,1.1246006389776357,,,,1.128930817610063,0.5714285714285714,0.7701863354037266,0.993238674780257,,,,,,,,,0.0,0.9932332657200811,John Ross Roach,TRS
34,1923,1.0461538461538462,36,1.0,,1.1304347826086956,0.782608695652174,2.0,0.7795527156549521,,,,0.7735849056603774,1.1428571428571428,1.3913043478260867,1.0060851926977687,,,,,,,,,0.0,1.0060851926977687,Georges Vezina*,MTL
