,Year,team,name,age,pos,school,selection,gp,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,fouls,pts,mean_mtrc,max_mtrc,final_mtrc
823,1956,STL,Jack Coleman,31,PF,,,0.7283810438820592,,0.723217691817957,0.326676470841181,0.34841497995124693,0.3549091469281571,,,,0.326676470841181,0.3422399775100254,0.3549091469281571,0.3534828902751585,0.12505129171707258,0.14454263408219326,0.6379702410595164,,,0.353108261472864,0.24523149399544356,,,,-0.27122514405001563,0.2947168888216199,0.3831104209093254,0.4545232947677357,84.0
835,1956,STL,Al Ferrari,22,SF,,,0.6603988131197336,,0.4695961450982351,0.1759027150683282,0.21845066203292468,0.3083919286414569,,,,0.1759027150683282,0.21457903351819055,0.3083919286414569,0.3071526085400649,0.12505129171707258,0.15330279372353833,0.6236136674210463,,,0.10362959847573186,0.1509116886125806,,,,-0.2373220010437636,0.18419805551351243,0.28277232196714264,0.4545232947677357,62.0
843,1956,STL,Alex Hannum*,32,PF,,,0.6895340548750161,,0.41213501341954817,0.13192703630124616,0.17697268822920478,0.2773804497836568,,,,0.13192703630124616,0.17383617905271131,0.2773804497836568,0.2762657540500025,0.06773611634674763,0.09636175605479552,0.5419606548522473,,,0.18423039729018995,0.13833571456153226,,,,-0.3220798585593934,0.1243336874716209,0.2555894272450955,0.4545232947677357,56.00000000000001
845,1956,STL,Bob Harrison,28,PG,,,0.6992458021267767,,0.6102768467943309,0.2261606336592791,0.27928502361171376,0.30925335860972913,,,,0.2261606336592791,0.27433522006756,0.30925335860972913,0.3080105767203444,0.06773611634674763,0.08760159641345046,0.5957978059965104,,,0.10362959847573186,0.23894350696991934,,,,-0.2881767155531415,0.19801290967702587,0.30821754140093727,0.4545232947677357,68.0
864,1956,STL,Jack McMahon,27,PG,,,0.6798223076232551,,0.4854474917682177,0.18218495489219708,0.24333744631515658,0.2825490295932901,,,,0.18218495489219708,0.23902474619747804,0.2825490295932901,0.2814135631316795,0.08336752781138172,0.11388207533748561,0.5338850821806079,,,0.09979146519885289,0.20121558481677415,,,,-0.2034188580375117,0.1680807256560801,0.28077967029224443,0.4545232947677357,62.0
874,1956,STL,Med Park,22,SF,,,0.3884698900704315,,0.21003034337726972,0.08166911771029525,0.10507753363609033,0.3006390589270068,,,,0.08166911771029525,0.10321523131254734,0.3006390589270068,0.29943089491754926,0.05731517537032493,0.07884143677210542,0.564392801162357,,,0.09211519864509497,0.06287987025524194,,,,-0.13561257202500782,0.0874940763689184,0.19615006284648187,0.4545232947677357,43.0
876,1956,STL,Bob Pettit*,23,C,,,0.6992458021267767,,0.768790313494157,0.5654015841481979,0.5779264349984968,0.36955345638878495,,,,0.5654015841481979,0.5676837722190103,0.36955345638878495,0.3680683493399102,0.4012062275922745,0.45990838117061494,0.6604023873696259,,,0.6217775908543911,0.16348766266362902,,,,-0.2373220010437636,0.5917362533371586,0.4545232947677357,0.4545232947677357,100.0
883,1956,STL,Bob Schafer,22,SG,,,0.5244343515950826,,0.21201176171101754,0.09423359735803298,0.13825991267906623,0.2584289904816678,,,,0.09423359735803298,0.1358095148849307,0.2584289904816678,0.25739045408385325,0.05731517537032493,0.06570119731008786,0.6864236770893531,,,0.049895732599426444,0.06287987025524194,,,,-0.1186610005218818,0.0944015034506751,0.22109704378284606,0.4545232947677357,49.0
887,1956,STL,Frank Selvy,23,SG,,,0.1650997032799334,,0.517150185108183,0.2450073531308857,0.29864141138678313,0.3152833683876347,,,,0.2450073531308857,0.2933485521514504,0.3152833683876347,0.31401635398230093,0.16152458513455206,0.183963352468246,0.6693752458936697,,,0.12282026486012665,0.13204772753600805,,,,-0.18646728653438574,0.2532723263310796,0.24841431505711448,0.4545232947677357,55.00000000000001
889,1956,STL,Chuck Share,28,C,,,0.6992458021267767,,0.5429086234469048,0.2764185522502301,0.2820502218652951,0.37041488635705716,,,,0.2764185522502301,0.2770514103652586,0.37041488635705716,0.3689263175201896,0.25010258343414515,0.3022255076264041,0.6236136674210463,,,0.41451839390292744,0.11318376645943548,,,,-0.3729345730687715,0.3131366943729711,0.33782483652268497,0.4545232947677357,74.0
896,1956,STL,Jack Stephens,22,SG,,,0.6992458021267767,,0.6102768467943309,0.21359615401154142,0.2461026445687379,0.33251196775307923,,,,0.21359615401154142,0.24174093649517667,0.33251196775307923,0.3311757175878912,0.17715599659918613,0.21900399103362614,0.6209218098638332,,,0.19958293039770578,0.1823516237402016,,,,-0.16951571503125973,0.23715499647364724,0.3388992514941408,0.4545232947677357,75.0
920,1957,BOS,Bob Cousy*,28,PG,,,0.6754959643628985,,0.7554231922656105,0.482033790210705,0.547113286126319,0.34048715016782644,,,,0.482033790210705,0.5374167286535965,0.34048715016782644,0.3391188505131384,0.31575466128309393,0.3230787529163516,0.765041129587155,,,0.18433919076302707,0.6236626976887409,,,,-0.19048813643104304,0.49113953672943506,0.45546655318487034,0.4776369839900336,95.0
937,1957,BOS,Tom Heinsohn*,22,PF,,,0.7599329599082607,,0.6121179796406979,0.3984812665741828,0.4310589527055847,0.35760158364187067,,,,0.3984812665741828,0.423419240757379,0.35760158364187067,0.35616450702041264,0.21050310752206258,0.2247504368113749,0.7361540711009166,,,0.3763591811411802,0.13304804217359809,,,,-0.3809762728620861,0.3862359463600412,0.37237955181037763,0.4776369839900336,78.0
